"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6153","Choose Date","chromium","Fri Dec 12 11:23:19 UTC 2025","passed","Fri Dec 12 11:23:26 UTC 2025","","Admin/admin.spec.js","",""
"","5677","Admin Scancenter","firefox","Fri Dec 12 11:23:59 UTC 2025","passed","Fri Dec 12 11:24:05 UTC 2025","","Admin/admin.spec.js","",""
"","76","Checking all the filter options and giving inputs in patient_id filter","chromium","Fri Dec 12 11:23:26 UTC 2025","passed","Fri Dec 12 11:23:26 UTC 2025","","Admin/admin.spec.js","",""
"","259","Checking patient detail table is visible","firefox","Fri Dec 12 11:23:59 UTC 2025","passed","Fri Dec 12 11:23:59 UTC 2025","","Admin/admin.spec.js","",""
"","7002","Choose Date","firefox","Fri Dec 12 11:23:52 UTC 2025","passed","Fri Dec 12 11:23:59 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","firefox","Fri Dec 12 11:23:59 UTC 2025","skipped","Fri Dec 12 11:23:59 UTC 2025","","Admin/admin.spec.js","",""
"","5195","Admin Scancenter","chromium","Fri Dec 12 11:23:26 UTC 2025","passed","Fri Dec 12 11:23:31 UTC 2025","","Admin/admin.spec.js","",""
"","286","Checking all the filter options and giving inputs in patient_id filter","firefox","Fri Dec 12 11:23:59 UTC 2025","passed","Fri Dec 12 11:23:59 UTC 2025","","Admin/admin.spec.js","",""
"","61","Checking patient detail table is visible","chromium","Fri Dec 12 11:23:26 UTC 2025","passed","Fri Dec 12 11:23:26 UTC 2025","","Admin/admin.spec.js","",""
"","5102","Admin Referring Doctor","chromium","Fri Dec 12 11:23:37 UTC 2025","passed","Fri Dec 12 11:23:42 UTC 2025","","Admin/admin.spec.js","",""
"","2","All Filter","firefox","Fri Dec 12 11:23:59 UTC 2025","skipped","Fri Dec 12 11:23:59 UTC 2025","","Admin/admin.spec.js","",""
"","3310","Case filter button","firefox","Fri Dec 12 11:23:43 UTC 2025","passed","Fri Dec 12 11:23:46 UTC 2025","","Admin/admin.spec.js","",""
"","3067","Case filter button","chromium","Fri Dec 12 11:23:11 UTC 2025","passed","Fri Dec 12 11:23:14 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","chromium","Fri Dec 12 11:23:26 UTC 2025","skipped","Fri Dec 12 11:23:26 UTC 2025","","Admin/admin.spec.js","",""
"","4691","Admin Referring Doctor","firefox","Fri Dec 12 11:24:11 UTC 2025","passed","Fri Dec 12 11:24:16 UTC 2025","","Admin/admin.spec.js","",""
"","6031","Admin Doctor","firefox","Fri Dec 12 11:24:05 UTC 2025","passed","Fri Dec 12 11:24:11 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","chromium","Fri Dec 12 11:23:26 UTC 2025","skipped","Fri Dec 12 11:23:26 UTC 2025","","Admin/admin.spec.js","",""
"","5888","Admin Doctor","chromium","Fri Dec 12 11:23:31 UTC 2025","passed","Fri Dec 12 11:23:37 UTC 2025","","Admin/admin.spec.js","",""
