"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Admin Action Buttons","chromium","Mon Dec 15 10:20:36 UTC 2025","skipped","Mon Dec 15 10:20:36 UTC 2025","","Admin/admin.spec.js","",""
"","3250","Case filter button","firefox","Mon Dec 15 10:20:54 UTC 2025","passed","Mon Dec 15 10:20:57 UTC 2025","","Admin/admin.spec.js","",""
"","5715","Admin Doctor","chromium","Mon Dec 15 10:20:42 UTC 2025","passed","Mon Dec 15 10:20:48 UTC 2025","","Admin/admin.spec.js","",""
"","6692","Choose Date","firefox","Mon Dec 15 10:21:02 UTC 2025","passed","Mon Dec 15 10:21:09 UTC 2025","","Admin/admin.spec.js","",""
"","5880","Admin Scancenter","chromium","Mon Dec 15 10:20:36 UTC 2025","passed","Mon Dec 15 10:20:42 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","chromium","Mon Dec 15 10:20:36 UTC 2025","skipped","Mon Dec 15 10:20:36 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","firefox","Mon Dec 15 10:21:09 UTC 2025","skipped","Mon Dec 15 10:21:09 UTC 2025","","Admin/admin.spec.js","",""
"","5246","Admin Referring Doctor","chromium","Mon Dec 15 10:20:48 UTC 2025","passed","Mon Dec 15 10:20:53 UTC 2025","","Admin/admin.spec.js","",""
"","248","Checking all the filter options and giving inputs in patient_id filter","firefox","Mon Dec 15 10:21:09 UTC 2025","passed","Mon Dec 15 10:21:09 UTC 2025","","Admin/admin.spec.js","",""
"","4509","Admin Referring Doctor","firefox","Mon Dec 15 10:21:20 UTC 2025","passed","Mon Dec 15 10:21:24 UTC 2025","","Admin/admin.spec.js","",""
"","5243","Admin Scancenter","firefox","Mon Dec 15 10:21:09 UTC 2025","passed","Mon Dec 15 10:21:15 UTC 2025","","Admin/admin.spec.js","",""
"","223","Checking patient detail table is visible","firefox","Mon Dec 15 10:21:09 UTC 2025","passed","Mon Dec 15 10:21:09 UTC 2025","","Admin/admin.spec.js","",""
"","3117","Case filter button","chromium","Mon Dec 15 10:20:17 UTC 2025","passed","Mon Dec 15 10:20:20 UTC 2025","","Admin/admin.spec.js","",""
"","1","Admin Action Buttons","firefox","Mon Dec 15 10:21:09 UTC 2025","skipped","Mon Dec 15 10:21:09 UTC 2025","","Admin/admin.spec.js","",""
"","67","Checking all the filter options and giving inputs in patient_id filter","chromium","Mon Dec 15 10:20:36 UTC 2025","passed","Mon Dec 15 10:20:36 UTC 2025","","Admin/admin.spec.js","",""
"","5994","Choose Date","chromium","Mon Dec 15 10:20:30 UTC 2025","passed","Mon Dec 15 10:20:36 UTC 2025","","Admin/admin.spec.js","",""
"","60","Checking patient detail table is visible","chromium","Mon Dec 15 10:20:36 UTC 2025","passed","Mon Dec 15 10:20:36 UTC 2025","","Admin/admin.spec.js","",""
"","5304","Admin Doctor","firefox","Mon Dec 15 10:21:15 UTC 2025","passed","Mon Dec 15 10:21:20 UTC 2025","","Admin/admin.spec.js","",""
