"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6944","Choose Date","firefox","Fri Dec 12 06:37:22 UTC 2025","passed","Fri Dec 12 06:37:29 UTC 2025","","Admin/admin.spec.js","",""
"","5176","Admin Referring Doctor","firefox","Fri Dec 12 06:37:41 UTC 2025","passed","Fri Dec 12 06:37:46 UTC 2025","","Admin/admin.spec.js","",""
"","5944","Admin Doctor","firefox","Fri Dec 12 06:37:35 UTC 2025","passed","Fri Dec 12 06:37:41 UTC 2025","","Admin/admin.spec.js","",""
"","59","Checking patient detail table is visible","chromium","Fri Dec 12 06:36:56 UTC 2025","passed","Fri Dec 12 06:36:56 UTC 2025","","Admin/admin.spec.js","",""
"","5032","Admin Referring Doctor","chromium","Fri Dec 12 06:37:07 UTC 2025","passed","Fri Dec 12 06:37:13 UTC 2025","","Admin/admin.spec.js","",""
"","5788","Admin Doctor","chromium","Fri Dec 12 06:37:02 UTC 2025","passed","Fri Dec 12 06:37:07 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","firefox","Fri Dec 12 06:37:29 UTC 2025","skipped","Fri Dec 12 06:37:29 UTC 2025","","Admin/admin.spec.js","",""
"","68","Checking all the filter options and giving inputs in patient_id filter","chromium","Fri Dec 12 06:36:56 UTC 2025","passed","Fri Dec 12 06:36:56 UTC 2025","","Admin/admin.spec.js","",""
"","3060","Case filter button","chromium","Fri Dec 12 06:36:44 UTC 2025","passed","Fri Dec 12 06:36:47 UTC 2025","","Admin/admin.spec.js","",""
"","268","Checking all the filter options and giving inputs in patient_id filter","firefox","Fri Dec 12 06:37:29 UTC 2025","passed","Fri Dec 12 06:37:29 UTC 2025","","Admin/admin.spec.js","",""
"","0","All Filter","chromium","Fri Dec 12 06:36:56 UTC 2025","skipped","Fri Dec 12 06:36:56 UTC 2025","","Admin/admin.spec.js","",""
"","3276","Case filter button","firefox","Fri Dec 12 06:37:13 UTC 2025","passed","Fri Dec 12 06:37:17 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","chromium","Fri Dec 12 06:36:56 UTC 2025","skipped","Fri Dec 12 06:36:56 UTC 2025","","Admin/admin.spec.js","",""
"","5595","Admin Scancenter","firefox","Fri Dec 12 06:37:29 UTC 2025","passed","Fri Dec 12 06:37:35 UTC 2025","","Admin/admin.spec.js","",""
"","0","Admin Action Buttons","firefox","Fri Dec 12 06:37:29 UTC 2025","skipped","Fri Dec 12 06:37:29 UTC 2025","","Admin/admin.spec.js","",""
"","250","Checking patient detail table is visible","firefox","Fri Dec 12 06:37:29 UTC 2025","passed","Fri Dec 12 06:37:29 UTC 2025","","Admin/admin.spec.js","",""
"","5159","Admin Scancenter","chromium","Fri Dec 12 06:36:56 UTC 2025","passed","Fri Dec 12 06:37:02 UTC 2025","","Admin/admin.spec.js","",""
"","5965","Choose Date","chromium","Fri Dec 12 06:36:50 UTC 2025","passed","Fri Dec 12 06:36:56 UTC 2025","","Admin/admin.spec.js","",""
